iter	Passed	Remaining
0	0	76
1	1	76
2	2	77
3	3	75
4	3	73
5	4	72
6	5	70
7	6	69
8	6	70
9	7	70
10	8	69
11	9	69
12	10	70
13	11	70
14	12	70
15	13	69
16	14	69
17	15	69
18	16	71
19	17	71
20	18	71
21	19	70
22	20	69
23	22	71
24	23	71
25	25	71
26	25	70
27	26	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	63
35	34	62
36	35	61
37	36	59
38	37	58
39	38	57
40	40	57
41	41	56
42	42	56
43	43	55
44	45	55
45	46	54
46	47	54
47	49	53
48	50	52
49	51	51
50	52	50
51	52	48
52	53	47
53	55	47
54	56	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	87	7
92	88	6
93	89	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
