iter	Passed	Remaining
0	2	2414
1	3	1906
2	5	1691
3	6	1595
4	7	1521
5	9	1507
6	10	1468
7	11	1449
8	13	1433
9	14	1424
10	15	1411
11	17	1413
12	18	1409
13	19	1403
14	21	1389
15	22	1385
16	24	1392
17	25	1397
18	26	1392
19	28	1407
20	30	1404
21	31	1407
22	33	1413
23	34	1413
24	36	1409
25	37	1407
26	39	1410
27	40	1405
28	42	1407
29	43	1410
30	44	1399
31	46	1402
32	47	1399
33	49	1398
34	50	1396
35	52	1394
36	53	1388
37	54	1389
38	56	1390
39	57	1386
40	59	1385
41	60	1381
42	62	1382
43	63	1383
44	65	1383
45	66	1383
46	68	1383
47	69	1381
48	71	1385
49	72	1385
50	74	1382
51	76	1387
52	77	1388
53	79	1387
54	80	1387
55	82	1388
56	83	1388
57	85	1386
58	86	1387
59	88	1388
60	90	1388
61	91	1390
62	93	1393
63	95	1392
64	96	1390
65	98	1390
66	99	1390
67	101	1391
68	103	1393
69	104	1393
70	106	1393
71	108	1392
72	109	1393
73	111	1392
74	112	1391
75	114	1394
76	116	1393
77	117	1393
78	119	1391
79	120	1391
80	122	1389
81	124	1388
82	125	1388
83	127	1388
84	128	1387
85	130	1386
86	132	1387
87	133	1385
88	135	1384
89	136	1384
90	138	1383
91	140	1383
92	141	1381
93	143	1382
94	144	1381
95	146	1380
96	148	1380
97	149	1378
98	151	1378
99	153	1377
100	154	1377
101	156	1377
102	158	1376
103	159	1374
104	161	1372
105	162	1373
106	164	1373
107	166	1372
108	167	1372
109	169	1371
110	171	1375
111	173	1374
112	175	1373
113	176	1374
114	178	1373
115	179	1371
116	181	1371
117	183	1370
118	184	1369
119	186	1368
120	188	1371
121	190	1370
122	191	1368
123	193	1367
124	195	1365
125	196	1363
126	198	1361
127	199	1360
128	201	1358
129	203	1358
130	204	1358
131	206	1356
132	207	1354
133	209	1354
134	211	1352
135	212	1351
136	214	1350
137	216	1350
138	217	1349
139	219	1347
140	220	1345
141	222	1344
142	224	1344
143	225	1343
144	227	1341
145	229	1339
146	230	1338
147	232	1337
148	233	1335
149	235	1335
150	237	1333
151	238	1332
152	240	1332
153	242	1330
154	243	1329
155	245	1327
156	246	1326
157	248	1324
158	250	1323
159	251	1321
160	253	1319
161	254	1318
162	256	1316
163	257	1314
164	259	1313
165	261	1311
166	262	1310
167	264	1308
168	265	1306
169	267	1306
170	269	1304
171	270	1303
172	272	1300
173	273	1298
174	275	1297
175	276	1296
176	278	1294
177	280	1293
178	281	1292
179	283	1290
180	284	1289
181	286	1287
182	288	1286
183	289	1284
184	291	1283
185	293	1282
186	294	1281
187	296	1279
188	297	1278
189	299	1277
190	301	1275
191	302	1274
192	304	1272
193	305	1270
194	307	1269
195	309	1267
196	310	1266
197	312	1265
198	313	1263
199	315	1262
200	317	1260
201	318	1259
202	320	1257
203	321	1256
204	323	1255
205	325	1252
206	326	1251
207	328	1250
208	329	1248
209	331	1247
210	333	1245
211	334	1244
212	336	1242
213	338	1241
214	339	1240
215	341	1237
216	342	1235
217	343	1232
218	345	1231
219	347	1230
220	348	1229
221	350	1226
222	351	1224
223	352	1222
224	354	1219
225	355	1217
226	356	1215
227	358	1212
228	359	1211
229	361	1209
230	362	1207
231	364	1205
232	365	1202
233	366	1200
234	368	1198
235	369	1195
236	370	1194
237	372	1191
238	373	1189
239	375	1188
240	376	1185
241	377	1183
242	379	1181
243	380	1180
244	382	1177
245	383	1175
246	384	1172
247	386	1171
248	387	1169
249	388	1166
250	390	1164
251	391	1163
252	393	1161
253	395	1162
254	397	1160
255	398	1158
256	399	1155
257	401	1154
258	402	1151
259	403	1148
260	404	1146
261	406	1144
262	407	1142
263	408	1139
264	410	1138
265	412	1137
266	413	1136
267	415	1134
268	416	1132
269	418	1130
270	419	1128
271	420	1126
272	422	1124
273	423	1123
274	425	1120
275	426	1119
276	428	1117
277	429	1114
278	430	1113
279	432	1111
280	433	1109
281	434	1106
282	436	1104
283	437	1102
284	438	1100
285	439	1098
286	441	1095
287	442	1093
288	443	1091
289	445	1089
290	446	1088
291	448	1087
292	449	1085
293	451	1083
294	452	1082
295	454	1080
296	455	1077
297	456	1075
298	457	1073
299	459	1072
300	461	1070
301	462	1068
302	463	1066
303	465	1065
304	466	1064
305	468	1061
306	469	1060
307	471	1059
308	473	1057
309	474	1056
310	476	1054
311	477	1052
312	479	1051
313	480	1049
314	482	1048
315	483	1046
316	484	1044
317	486	1043
318	487	1040
319	489	1039
320	490	1037
321	491	1035
322	493	1034
323	494	1032
324	496	1030
325	497	1028
326	499	1027
327	500	1025
328	501	1023
329	503	1021
330	504	1019
331	505	1018
332	507	1016
333	509	1015
334	510	1013
335	511	1011
336	513	1009
337	514	1007
338	515	1005
339	517	1004
340	518	1002
341	520	1001
342	521	999
343	523	997
344	524	995
345	525	993
346	527	992
347	528	990
348	529	988
349	530	986
350	532	984
351	533	982
352	535	980
353	536	978
354	537	976
355	538	974
356	540	973
357	541	971
358	543	970
359	544	968
360	546	967
361	547	965
362	549	963
363	550	962
364	552	961
365	553	959
366	555	957
367	556	955
368	557	953
369	559	952
370	560	950
371	562	948
372	563	947
373	564	945
374	566	943
375	567	941
376	568	940
377	570	938
378	571	936
379	573	935
380	574	933
381	575	931
382	577	929
383	578	928
384	580	926
385	581	924
386	582	922
387	583	920
388	585	919
389	586	917
390	588	916
391	589	914
392	590	912
393	592	910
394	593	909
395	594	907
396	596	905
397	597	903
398	598	901
399	600	900
400	601	898
401	602	896
402	604	895
403	605	893
404	607	892
405	608	890
406	610	889
407	611	887
408	613	885
409	614	884
410	616	882
411	617	881
412	619	879
413	620	877
414	621	876
415	623	874
416	624	873
417	625	871
418	627	869
419	628	868
420	630	866
421	631	864
422	632	863
423	634	861
424	635	860
425	637	858
426	638	856
427	639	854
428	640	853
429	642	851
430	643	849
431	645	848
432	646	846
433	647	844
434	648	842
435	649	840
436	651	839
437	652	837
438	653	835
439	655	833
440	656	832
441	657	830
442	659	829
443	660	827
444	662	825
445	663	824
446	665	822
447	666	821
448	668	820
449	670	819
450	671	817
451	672	815
452	673	813
453	675	812
454	676	810
455	677	808
456	679	807
457	680	805
458	682	804
459	683	802
460	685	800
461	686	799
462	687	797
463	689	796
464	690	794
465	691	792
466	693	791
467	694	789
468	695	787
469	697	786
470	698	784
471	699	782
472	701	781
473	702	779
474	704	778
475	705	776
476	706	775
477	708	773
478	709	771
479	710	770
480	712	768
481	713	766
482	714	765
483	716	763
484	717	761
485	718	760
486	720	758
487	721	757
488	722	755
489	724	753
490	725	752
491	726	750
492	728	748
493	729	747
494	731	745
495	732	744
496	734	742
497	735	741
498	736	739
499	738	738
500	739	736
501	741	735
502	742	733
503	743	731
504	745	730
505	746	728
506	747	727
507	749	725
508	750	724
509	752	722
510	753	721
511	754	719
512	756	717
513	757	716
514	758	714
515	760	712
516	761	711
517	762	709
518	763	708
519	765	706
520	766	704
521	767	702
522	768	701
523	770	699
524	771	697
525	772	696
526	773	694
527	775	693
528	776	691
529	777	689
530	779	688
531	780	686
532	781	684
533	782	683
534	784	681
535	785	679
536	786	678
537	788	676
538	789	675
539	790	673
540	792	672
541	793	670
542	794	668
543	796	667
544	797	665
545	798	664
546	799	662
547	801	660
548	802	659
549	803	657
550	805	656
551	806	654
552	808	653
553	809	651
554	811	650
555	812	648
556	813	647
557	814	645
558	816	643
559	817	642
560	818	640
561	819	639
562	821	637
563	822	635
564	823	634
565	825	632
566	826	631
567	827	629
568	829	627
569	830	626
570	831	624
571	832	623
572	834	621
573	835	620
574	836	618
575	837	616
576	839	615
577	840	613
578	841	612
579	843	610
580	844	609
581	845	607
582	847	605
583	848	604
584	849	602
585	851	601
586	852	599
587	853	598
588	855	596
589	856	595
590	857	593
591	858	591
592	860	590
593	861	588
594	862	587
595	864	585
596	865	584
597	866	582
598	868	581
599	869	579
600	870	577
601	871	576
602	873	574
603	874	573
604	875	571
605	876	570
606	878	568
607	879	567
608	880	565
609	881	563
610	883	562
611	884	560
612	885	559
613	887	557
614	888	556
615	889	554
616	891	553
617	892	551
618	893	550
619	894	548
620	896	547
621	897	545
622	898	543
623	900	542
624	901	540
625	902	539
626	904	537
627	905	536
628	906	534
629	908	533
630	909	531
631	910	530
632	911	528
633	913	527
634	914	525
635	915	524
636	917	522
637	918	521
638	919	519
639	921	518
640	922	516
641	923	515
642	925	513
643	926	512
644	927	510
645	929	509
646	930	507
647	931	506
648	933	504
649	934	503
650	935	501
651	937	500
652	938	498
653	939	497
654	941	495
655	942	494
656	943	492
657	944	491
658	946	489
659	947	488
660	948	486
661	950	485
662	951	483
663	952	482
664	954	480
665	955	479
666	956	477
667	958	476
668	959	474
669	960	473
670	962	471
671	963	470
672	964	468
673	966	467
674	967	465
675	968	464
676	970	462
677	971	461
678	972	459
679	974	458
680	975	456
681	976	455
682	977	453
683	979	452
684	980	450
685	981	449
686	982	447
687	984	446
688	985	444
689	986	443
690	988	441
691	989	440
692	990	438
693	992	437
694	993	435
695	994	434
696	995	432
697	997	431
698	998	429
699	999	428
700	1001	427
701	1002	425
702	1004	424
703	1005	422
704	1006	421
705	1008	419
706	1009	418
707	1010	416
708	1012	415
709	1013	413
710	1014	412
711	1016	410
712	1017	409
713	1018	408
714	1019	406
715	1021	405
716	1022	403
717	1023	402
718	1025	400
719	1026	399
720	1027	397
721	1029	396
722	1030	394
723	1031	393
724	1032	391
725	1034	390
726	1035	388
727	1037	387
728	1038	386
729	1039	384
730	1041	383
731	1042	381
732	1044	380
733	1045	378
734	1046	377
735	1048	376
736	1049	374
737	1050	373
738	1052	371
739	1053	370
740	1054	368
741	1056	367
742	1057	365
743	1058	364
744	1060	363
745	1062	361
746	1063	360
747	1064	358
748	1065	357
749	1067	355
750	1068	354
751	1070	352
752	1071	351
753	1072	349
754	1074	348
755	1075	347
756	1076	345
757	1078	344
758	1079	342
759	1080	341
760	1081	339
761	1083	338
762	1084	336
763	1085	335
764	1087	333
765	1088	332
766	1089	331
767	1090	329
768	1092	328
769	1093	326
770	1095	325
771	1096	323
772	1097	322
773	1099	320
774	1100	319
775	1102	318
776	1103	316
777	1105	315
778	1106	313
779	1107	312
780	1109	310
781	1110	309
782	1111	308
783	1112	306
784	1114	305
785	1115	303
786	1116	302
787	1118	300
788	1119	299
789	1120	297
790	1122	296
791	1123	295
792	1125	293
793	1126	292
794	1128	290
795	1129	289
796	1130	287
797	1132	286
798	1133	285
799	1134	283
800	1136	282
801	1137	280
802	1138	279
803	1140	277
804	1141	276
805	1143	275
806	1144	273
807	1145	272
808	1146	270
809	1148	269
810	1149	267
811	1151	266
812	1152	265
813	1153	263
814	1154	262
815	1156	260
816	1157	259
817	1158	257
818	1160	256
819	1161	254
820	1162	253
821	1163	252
822	1165	250
823	1166	249
824	1167	247
825	1169	246
826	1170	244
827	1171	243
828	1173	241
829	1174	240
830	1175	239
831	1177	237
832	1178	236
833	1179	234
834	1181	233
835	1182	231
836	1183	230
837	1184	229
838	1186	227
839	1187	226
840	1188	224
841	1190	223
842	1191	221
843	1192	220
844	1194	219
845	1195	217
846	1196	216
847	1198	214
848	1199	213
849	1200	211
850	1201	210
851	1203	208
852	1204	207
853	1205	206
854	1207	204
855	1208	203
856	1209	201
857	1211	200
858	1212	199
859	1213	197
860	1215	196
861	1216	194
862	1218	193
863	1219	191
864	1220	190
865	1222	189
866	1224	187
867	1225	186
868	1226	184
869	1228	183
870	1229	182
871	1230	180
872	1232	179
873	1233	177
874	1234	176
875	1235	174
876	1237	173
877	1238	172
878	1239	170
879	1241	169
880	1242	167
881	1243	166
882	1244	164
883	1246	163
884	1247	162
885	1248	160
886	1250	159
887	1251	157
888	1252	156
889	1254	154
890	1255	153
891	1256	152
892	1258	150
893	1259	149
894	1260	147
895	1262	146
896	1263	145
897	1264	143
898	1265	142
899	1267	140
900	1268	139
901	1269	137
902	1271	136
903	1272	135
904	1273	133
905	1274	132
906	1276	130
907	1277	129
908	1278	128
909	1280	126
910	1281	125
911	1282	123
912	1283	122
913	1285	120
914	1286	119
915	1287	118
916	1289	116
917	1290	115
918	1291	113
919	1293	112
920	1294	111
921	1296	109
922	1297	108
923	1298	106
924	1300	105
925	1301	103
926	1302	102
927	1303	101
928	1305	99
929	1306	98
930	1307	96
931	1308	95
932	1310	94
933	1311	92
934	1312	91
935	1314	89
936	1315	88
937	1316	87
938	1317	85
939	1319	84
940	1320	82
941	1322	81
942	1323	79
943	1324	78
944	1325	77
945	1327	75
946	1328	74
947	1329	72
948	1330	71
949	1332	70
950	1333	68
951	1334	67
952	1336	65
953	1337	64
954	1338	63
955	1340	61
956	1341	60
957	1342	58
958	1343	57
959	1345	56
960	1346	54
961	1347	53
962	1349	51
963	1350	50
964	1351	49
965	1353	47
966	1354	46
967	1355	44
968	1356	43
969	1358	42
970	1359	40
971	1360	39
972	1362	37
973	1363	36
974	1364	34
975	1366	33
976	1367	32
977	1368	30
978	1370	29
979	1371	27
980	1372	26
981	1373	25
982	1375	23
983	1376	22
984	1377	20
985	1379	19
986	1380	18
987	1381	16
988	1382	15
989	1384	13
990	1385	12
991	1386	11
992	1388	9
993	1389	8
994	1390	6
995	1391	5
996	1393	4
997	1394	2
998	1395	1
999	1397	0
